Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating,Waste_per_Item,Carbon_per_Item,Water_Usage_per_Item
H&M,India,2024,680.53,21.72,14,6824.68,50.12,840.09,180.45,51,2,37.42,137.2,8,2402,2333,-0.89,Positive,645.65,0.41,66.69,10.25,1.19,0.7,0.00123446,0.0100285,0.0000736485
H&M,Vietnam,2015,499.31,21.85,7,12987.34,231.76,706.74,74.35,53,1,23.38,84.14,10,2082,7046,0.52,Negative,747.07,0.14,84.37,43.8,34.24,2.73,0.00141543,0.0260106,0.000464161
H&M,Vietnam,2018,530.07,18.4,27,8515.1,170.15,1029.93,164.83,55,1,16.09,118.13,19,6158,7181,0.16,Negative,598.18,0.77,67.52,20.59,35.25,0.63,0.00194301,0.0160641,0.000320995
Uniqlo,Brazil,2015,557.46,15.98,26,7921.9,211.78,371.19,158.78,68,2,33.44,145.37,14,904,2501,0.7,Positive,602.81,0.36,64.04,31.42,95.8,0.17,0.000665859,0.0142107,0.000379902
H&M,India,2022,320.82,21.43,19,7898.27,240.89,700.48,156.67,52,0,14.33,120.12,18,2163,3692,0.29,Negative,824.43,0.31,15.68,68.34,59.37,3.77,0.0021834,0.024619,0.000750857
Shein,Brazil,2020,423.84,10.7,8,5004.07,182.51,756.72,163.51,55,2,39.05,139.73,15,3172,3309,-0.62,Neutral,486.09,0.37,9.3,14.39,10.47,2.11,0.00178539,0.0118065,0.000430611
Zara,Turkey,2018,437.39,21.72,27,15058.91,179.37,832.21,210.86,43,2,29.67,179.18,14,1682,6232,-0.79,Positive,583.04,0.25,43.1,51.05,14.06,2.12,0.00190267,0.034429,0.000410092
Zara,UK,2017,342.27,17.37,21,12227.38,161.74,843.34,134.83,44,1,24.68,93.44,12,8653,3770,0.25,Positive,532.38,0.53,87.57,27.14,0.37,0.81,0.00246396,0.0357244,0.000472551
H&M,India,2024,299.74,14.55,15,9761.83,181.97,598.88,168.01,51,4,11.39,144.56,18,7241,510,-0.47,Positive,531.59,0.7,96.54,91.58,50.29,3.98,0.001998,0.0325677,0.000607093
Uniqlo,Brazil,2019,410.54,18.5,17,8049.1,237.11,718.06,137.97,41,2,15,109.84,11,8463,6769,0.45,Negative,465.57,0.81,24.37,30.59,48.31,0.32,0.00174906,0.0196061,0.000577556
Shein,Turkey,2019,525.07,20.19,7,8159.24,211.77,909.16,41.42,52,0,29.05,108.19,19,2132,1557,0.21,Neutral,682,0.67,41.74,14.43,9.36,0.08,0.0017315,0.0155393,0.000403318
"Forever 21",Vietnam,2024,448.23,22.45,23,6917.21,170.85,979.01,164.29,54,3,32.87,121.68,12,7967,4314,-0.71,Neutral,438.07,0.89,26.92,98.23,38.29,0.89,0.00218417,0.0154323,0.000381166
"Forever 21",Indonesia,2018,380.16,10.1,26,9078.83,272.05,920.02,130.24,40,1,31.03,122.09,18,852,2519,-0.42,Positive,880.33,0.88,90.45,0.07,59.41,3.6,0.00242009,0.0238816,0.00071562
Zara,Germany,2023,392.17,21.02,11,9579.41,275.83,949.09,148.87,53,1,21.27,127.38,11,9709,1574,-0.4,Neutral,339.54,0.15,46.83,85.31,93.36,4.66,0.0024201,0.0244267,0.000703343
Zara,Bangladesh,2022,455.78,15.32,15,11956.92,102.12,896.05,97.24,50,0,24.39,93.72,11,5349,1366,-0.5,Neutral,461.71,0.99,38.94,73.26,68.47,1.06,0.00196597,0.026234,0.000224055
Uniqlo,Turkey,2023,380.58,15.25,15,9388.53,238.83,862.07,119.61,58,0,10.21,148.54,5,4701,1407,0.48,Negative,605.38,0.13,12.16,63.31,89.9,3.12,0.00226515,0.024669,0.000627542
"Forever 21",Germany,2024,488.36,20.37,28,9723.08,293.38,898.02,177.38,63,2,38.23,128.22,4,4098,722,-0.45,Negative,242.47,0.46,98.29,53.65,50.26,1.29,0.00183885,0.0199097,0.000600745
Zara,USA,2021,518.34,17.23,10,12568.29,234.5,637.42,168.16,64,2,29.45,124.04,14,7827,970,-0.83,Neutral,476.3,0.68,76.25,58.49,26.62,0.16,0.00122973,0.0242472,0.000452406
Uniqlo,USA,2023,543.43,15.5,25,700.99,207.72,689.19,169.11,57,2,18.91,123.44,18,3343,698,-0.8,Neutral,536.15,0.11,61.62,96.08,90.29,3.48,0.00126822,0.00128994,0.000382239
Shein,UK,2018,458.95,17.56,21,12015.83,223.05,601.11,162.48,55,1,23.6,127.64,3,1276,450,-0.05,Negative,721.13,0.43,35.87,52.93,58.44,3.98,0.00130975,0.0261811,0.000486001
"Forever 21",China,2015,662.48,17.18,19,10240.92,160.47,935.96,156.88,61,1,33.82,57.29,6,9133,5371,0.55,Negative,465.95,0.2,77.84,17.05,44.74,1.05,0.00141281,0.0154585,0.000242226
"Forever 21",Turkey,2020,610.19,21.85,21,3848.93,244.35,901.4,147.13,43,0,15.53,66.25,4,1772,3725,0.33,Negative,496.03,0.31,48.93,28.61,72.28,4.73,0.00147724,0.00630776,0.000400449
Shein,Turkey,2022,523.66,23.94,18,8934.64,224.89,731.68,193.36,65,1,18.45,124.31,6,3613,545,-0.75,Negative,151.92,0.62,73.48,32.15,3.47,0.64,0.00139724,0.0170619,0.000429458
Shein,Turkey,2021,497.98,24.32,8,8864.94,208.72,810.11,224.49,62,0,27.64,87.8,13,3535,3251,0.24,Positive,619.77,0.67,69.94,11.2,84.95,2.66,0.00162679,0.0178018,0.000419133
Shein,India,2021,557.42,19.89,13,10887.96,223.58,809.45,86.08,61,2,30.18,136.38,13,394,70,0.49,Positive,341.3,1,66.57,49.35,92.32,0.08,0.00145214,0.0195328,0.000401098
Uniqlo,USA,2021,582.35,21.62,19,5764.44,185.67,1186.22,192.95,57,0,28.78,212.31,5,4591,4757,0.14,Positive,772.02,0.4,72.31,50.78,49.91,0.55,0.00203695,0.00989858,0.000318829
H&M,Indonesia,2020,290.87,17.03,19,7852.6,185.35,721.45,138.28,63,3,14.68,138.97,13,4863,3097,0.41,Positive,405.16,0.46,92,65.03,9.04,4.74,0.00248032,0.0269969,0.000637226
Zara,UK,2016,376.69,13.9,23,11973.81,262.75,866.89,183.77,43,0,33.19,107.04,9,4882,1355,-0.7,Neutral,575.58,0.82,70.72,19.04,36.67,0.53,0.00230134,0.0317869,0.000697523
Zara,Brazil,2018,365.58,21.52,9,9399.76,164.45,58.24,237.74,44,1,21.36,132.63,13,9163,884,-0.22,Neutral,700.33,0.7,21.55,22.11,72.92,2.5,0.000159308,0.0257119,0.000449833
Uniqlo,Indonesia,2024,320.57,18.47,18,11958.47,252.93,785,107.12,62,0,19.83,112.12,17,5124,4897,-0.76,Negative,318.72,0.87,15.66,97.48,84.25,2.5,0.00244876,0.0373038,0.000789001
Uniqlo,Brazil,2023,647.4,13,7,16616.59,271.96,548.19,189.35,67,2,34.12,98.11,3,8801,5721,-0.72,Positive,502.96,0.19,53.55,8.51,30.29,3.72,0.000846756,0.0256667,0.00042008
Shein,Indonesia,2018,651.52,13.95,19,7181.61,267.15,741.11,222.64,50,1,26.97,110.07,4,7346,6941,0.7,Negative,500.53,0.9,48.38,72.84,31.65,1.71,0.00113751,0.0110229,0.000410041
Shein,USA,2016,540.97,13.26,26,10749.79,166.31,614.17,218.94,59,0,12.44,93.68,19,1569,4775,-0.47,Neutral,19.09,0.48,9.44,12.57,41.44,3.81,0.00113531,0.0198713,0.000307429
H&M,Bangladesh,2020,543.35,23.51,8,14032.95,277.6,737.73,211.39,55,1,30.94,132.46,18,8381,2329,0.91,Positive,394.27,0.93,31.12,20.91,84.85,4.53,0.00135774,0.0258267,0.000510905
"Forever 21",Germany,2017,825.94,23.49,23,4521.44,262.84,802.8,86.9,59,2,28.19,128.73,15,1154,1814,0.94,Neutral,900.85,0.9,60.05,53.01,2.78,1.23,0.000971983,0.0054743,0.000318231
Uniqlo,Turkey,2015,827.76,16.57,8,9203.84,272.47,1061.46,192.78,40,2,24.95,100.07,12,7648,5026,0.1,Positive,118.75,0.82,58.31,96.02,66.03,2.61,0.00128233,0.011119,0.000329165
Shein,Turkey,2021,490.41,18.23,14,7639.73,240.15,685.73,122.88,54,0,22.74,142.31,17,323,4663,0.98,Positive,459.02,0.52,5.82,26.23,43.61,0.78,0.00139828,0.0155783,0.000489692
"Forever 21",UK,2022,591.43,12.22,27,7309.08,250.98,638.28,149.12,45,1,13.44,122.53,16,9835,7596,0.31,Negative,286.15,0.28,14.4,99.95,62.24,2.15,0.00107921,0.0123583,0.000424361
Shein,Vietnam,2016,614.5,12.22,23,11880.86,183.38,890.41,89.54,42,0,30.56,176.88,15,3279,6412,-0.86,Neutral,475.17,0.94,76.64,65.79,82.39,3.24,0.001449,0.0193342,0.000298421
"Forever 21",India,2016,504.87,24.03,13,14892.2,215.71,959.38,219.82,60,1,15.85,139.35,18,9610,1585,0.43,Neutral,497.52,0.64,29.89,41.08,21.77,4.83,0.00190025,0.0294971,0.000427258
Zara,USA,2021,451.23,15.31,12,12067.49,158.98,745.25,149.29,51,1,26.79,93.18,7,4539,1153,0.75,Neutral,238.96,0.13,9.09,85.47,63.06,3.74,0.0016516,0.0267435,0.000352326
H&M,China,2024,527.77,12.75,7,7922.95,160.46,685.18,176.82,52,3,20.78,108.01,13,672,7755,-0.85,Negative,607.17,0.33,66.93,88.83,45.99,3.03,0.00129825,0.0150121,0.000304034
Shein,UK,2024,577.72,17.35,10,10730.18,74.39,570.42,188.06,49,1,25.65,117.24,11,6961,848,-0.27,Neutral,503.21,0.15,75.49,95.52,24.02,1.62,0.000987364,0.0185733,0.000128765
H&M,Vietnam,2020,546.48,13.63,10,11472.67,171.35,865.57,109.72,62,1,10.18,126.56,18,1463,4558,-0.26,Positive,410.74,0.61,88.17,94.19,73.96,0.43,0.0015839,0.0209938,0.000313552
H&M,Turkey,2015,362.3,28.66,18,9315.92,286.33,621.95,73.88,56,1,13.53,127.92,19,2955,2274,0.1,Positive,468.89,0.95,21.23,52.01,47.47,1.29,0.00171667,0.0257133,0.000790312
Shein,Vietnam,2017,405.01,22.93,18,10489.6,174.91,1213.32,169.31,64,1,31.76,113.25,5,9421,3314,0.64,Neutral,314.24,0.25,80.78,69.29,55.59,3.5,0.00299578,0.0258996,0.000431866
H&M,India,2018,341.6,18.72,6,9770.66,154.68,511.56,182.4,49,1,33.82,149.16,13,8895,5307,-0.62,Neutral,497.34,0.9,43.09,19.8,43.8,2.04,0.00149754,0.0286026,0.00045281
"Forever 21",USA,2016,782.9,12.17,16,7546.95,131.97,717.5,113.07,41,0,34.25,157.96,6,889,3525,-0.7,Positive,404.29,0.22,34.56,80.77,24.63,0.32,0.000916464,0.00963974,0.000168566
H&M,Turkey,2020,299.62,23.62,7,16343.24,222.51,902.93,131.16,50,1,22.03,151.24,5,6231,1211,0.58,Positive,267.78,0.3,67.7,80.32,56.19,3.7,0.00301358,0.0545466,0.000742641
Uniqlo,Bangladesh,2021,317.47,26.82,15,11794.99,96.5,662.61,219.63,48,1,33.95,93.06,10,656,7669,-0,Neutral,336.28,0.49,21.83,13.05,1.26,0.77,0.00208716,0.0371531,0.000303966
Zara,Bangladesh,2021,348.23,24.05,21,12921.54,155.19,1181.46,78.2,65,1,26.49,117.5,13,9819,1717,0.33,Positive,729.92,0.74,17.79,88.85,44.19,0.71,0.00339276,0.0371063,0.000445654
Uniqlo,USA,2015,609.2,23.32,8,9785.25,267.89,478.1,115.13,61,1,15.23,98.27,3,6038,2797,-0.67,Negative,488.46,0.36,79.28,90.58,97.51,1.16,0.0007848,0.0160625,0.000439741
Shein,Brazil,2018,447.92,23.85,21,14188.99,203.1,825.23,122.55,58,0,32.1,127.82,12,1802,2051,-0.15,Neutral,495.03,0.6,59.89,27.44,40,3.89,0.00184236,0.0316775,0.000453429
Uniqlo,India,2016,200.26,27.16,15,7512.67,103.71,730.24,52.09,56,0,39.95,108.91,4,3056,3772,0.26,Neutral,434.41,0.43,53.54,78.84,81.81,4.79,0.00364646,0.0375146,0.000517877
Zara,Bangladesh,2016,537.82,26.31,23,6711.34,195.93,886.33,186.98,62,4,11.8,88,3,683,4577,0.71,Neutral,510,0.45,32.32,93.52,36.33,1.95,0.001648,0.0124788,0.000364304
Uniqlo,Brazil,2020,546.55,16.41,16,8934.65,122.02,1235.41,93.77,53,2,30.69,93.49,13,4147,7631,0.98,Neutral,546.1,0.67,37.03,22.62,87.28,4.07,0.00226038,0.0163474,0.000223255
Uniqlo,Germany,2016,394.39,16.87,20,6436.7,176.16,906.87,154.55,42,1,20.09,83.72,18,3267,3047,0.54,Neutral,307.27,0.34,76.72,20.59,32.17,2.33,0.00229942,0.0163206,0.000446664
H&M,Germany,2020,414.45,14.1,21,16363.07,186.31,173.65,222.88,59,1,36.89,96.86,10,5355,272,0.53,Positive,145.21,0.79,35.63,27.41,80.12,1.89,0.000418989,0.0394814,0.000449536
Uniqlo,Bangladesh,2023,314.69,27.62,25,12267,186.69,530.05,238.41,51,1,35.52,124.06,11,3687,5245,-0.44,Neutral,706.71,0.75,86.19,65.41,51.16,0.79,0.00168436,0.0389812,0.000593251
H&M,Bangladesh,2023,488.22,16.77,18,13270.55,155.11,406.53,148.94,65,1,10.14,114.17,15,3474,4769,0.58,Negative,420.74,0.32,90.84,9.31,46.81,4.44,0.000832678,0.0271815,0.000317705
Zara,Bangladesh,2019,335.5,28.97,22,10248.32,202.21,323.14,187.26,66,2,30.74,91.86,12,8849,6257,-0.88,Positive,458.53,0.47,54.66,43.6,74.87,4.14,0.000963159,0.0305464,0.000602712
"Forever 21",USA,2017,524.81,13.09,13,5941.53,131.4,1010.59,146.17,68,1,10.93,113.19,16,8629,6772,0.41,Positive,471.65,0.84,23.63,66.14,39.2,1.84,0.00192563,0.0113213,0.000250376
Shein,India,2020,361.61,27.77,20,7762.17,160.31,950.68,119.27,46,2,11.09,112.91,6,7972,3523,0.92,Positive,568.5,0.81,60.38,49.33,4.01,4.92,0.00262902,0.0214656,0.000443323
Zara,Germany,2016,341.65,18.23,14,11942,102.33,532.85,256.78,51,2,35.89,138.02,13,5539,7930,-0.7,Positive,190.43,0.94,38.31,72.95,2.03,1.03,0.00155964,0.0349539,0.000299517
Shein,Indonesia,2021,658.22,19.82,10,9073.41,86.62,744.19,63.02,55,1,36.99,180.54,16,1344,3273,-0.1,Positive,546.11,0.4,38.81,24.23,92.45,2.61,0.00113061,0.0137848,0.000131597
Uniqlo,Germany,2018,473.8,20.13,25,8066.98,35.65,1037.23,227.02,54,0,39.84,168.88,3,3188,5520,-0.29,Neutral,477.07,0.63,83.56,4.37,23.66,4.45,0.00218917,0.0170261,0.0000752427
H&M,Germany,2023,517.01,22.29,25,9558.7,81.57,870.67,253.37,68,1,37.55,81.87,7,6575,7029,-0.35,Positive,424.28,0.11,70.1,11.33,77.29,2.46,0.00168405,0.0184884,0.000157773
Shein,Brazil,2018,561.42,26.94,6,9494.85,180.44,878.07,142.3,46,2,32.92,145.84,5,8260,2886,0.55,Negative,648.38,0.34,93.36,72,75.38,1.1,0.00156402,0.0169122,0.000321399
H&M,Indonesia,2015,812.71,14.96,25,6361.63,243.43,965.84,121.61,54,2,19.43,167.97,11,2115,1708,0.25,Positive,612.64,0.22,75.62,27.59,90.5,4.09,0.00118842,0.00782767,0.000299529
H&M,China,2022,664.12,17.27,24,8223.44,323.51,471.87,102.16,43,1,33.14,68.09,19,9003,7316,-0.77,Negative,766.78,0.78,75.75,80.98,88.66,1.32,0.000710519,0.0123825,0.000487126
"Forever 21",Brazil,2021,471.4,12.39,11,9553.16,230.52,811.32,93.96,53,1,24.72,166.19,9,7827,7326,0.02,Neutral,427.38,0.23,61.17,56.57,71.47,4.69,0.00172109,0.0202655,0.000489011
Shein,UK,2016,418.48,18.12,18,10438.63,267.79,421.72,191.9,50,0,23.27,121.75,5,3033,2879,0.32,Negative,379.23,0.49,81.94,90.56,11.98,2.66,0.00100774,0.0249442,0.000639911
"Forever 21",India,2018,628.51,21.99,6,11085.29,219.19,756.46,169.21,61,1,17.62,149.92,8,4400,1799,0.61,Positive,390.38,0.17,19.15,38.62,48.49,1.77,0.00120358,0.0176374,0.000348745
Uniqlo,China,2020,520.38,19.74,7,10628.2,166.34,1101.79,130.42,40,1,11.61,130.15,11,7700,5217,-0.43,Positive,301.48,0.95,84.25,72.24,7.8,0.53,0.00211728,0.0204239,0.000319651
"Forever 21",China,2021,313.28,19.87,15,10876.83,245.31,853.95,145.63,48,0,22.91,137.11,14,5663,3013,-0.49,Positive,433.71,0.74,48,40.24,15.15,2.21,0.00272584,0.0347192,0.000783038
H&M,Brazil,2023,386.59,24.34,25,10321.62,180.87,925.29,146,61,0,28.23,80.37,12,2208,4843,-0.53,Negative,411.98,0.19,57.62,55.37,18.84,0.28,0.00239347,0.0266991,0.00046786
"Forever 21",Germany,2024,504.42,14.21,27,9679.09,316.53,450.56,154.73,48,2,26.7,126.72,19,2832,7883,-0.61,Positive,393.79,0.89,70.45,45.38,54.06,4.25,0.000893224,0.0191886,0.000627513
Shein,Bangladesh,2015,154.37,18.19,14,6126.88,219.71,858.44,183.63,51,0,22.68,88.53,5,3841,5157,-0.5,Negative,321.47,0.72,68.39,50.18,77.79,4.21,0.00556093,0.0396896,0.00142327
Uniqlo,UK,2017,778.6,26.23,6,13907.03,146.66,1076.53,252.89,60,0,14.87,129.41,19,940,5731,0.25,Positive,633.21,0.24,46.9,50.44,58.51,2.57,0.00138265,0.0178616,0.000188364
Shein,China,2020,186.22,19.73,22,9589.61,149.12,849.47,39.46,58,1,19.14,93.29,7,3239,5675,0.31,Neutral,625.52,0.23,55.43,52.71,73.42,0.28,0.00456165,0.0514961,0.000800773
Zara,Bangladesh,2016,550.71,23.23,6,5874.32,189.26,768.27,160.88,68,0,11.06,123.21,19,6001,6179,0.29,Negative,532.03,0.41,70.79,55.74,25.6,3.25,0.00139505,0.0106668,0.000343665
"Forever 21",Vietnam,2023,514.46,14.92,14,15877.63,172.53,617.48,149.69,62,1,16.76,115.71,16,6100,7084,-0.26,Neutral,162.18,0.44,38.35,83.66,65.08,3.07,0.00120025,0.0308627,0.000335361
Shein,UK,2023,653.37,17.33,11,15086.44,242.24,756.12,150.99,66,0,14.15,114.72,15,3141,6441,0.92,Neutral,-79.9,0.64,80.75,10.94,39.73,1.68,0.00115726,0.0230902,0.000370755
H&M,UK,2016,663.29,21.05,29,10262.87,350.44,834.29,21.56,44,0,13.89,139.32,6,6755,7691,0.12,Neutral,516.4,0.27,22.44,49.38,96.16,3.85,0.00125781,0.0154727,0.000528336
"Forever 21",Germany,2020,182.95,19.24,15,12238.75,159.31,768.43,123.2,48,4,18.22,112.75,18,2786,7238,-0.76,Positive,730.55,0.3,50.02,84.04,70.13,3.95,0.00420022,0.0668967,0.000870784
Zara,China,2020,335.2,11.41,14,12061.5,177.17,712.99,222.02,48,0,11.4,98.5,5,6069,5323,0,Positive,661.92,0.87,53.07,25.52,67.56,2.71,0.00212706,0.035983,0.00052855
"Forever 21",USA,2020,561.31,12.59,29,10236.56,182.95,535.21,101.97,68,2,34.62,116.74,16,644,3131,-0.4,Negative,424.34,0.47,22.38,93.25,48.81,3.15,0.000953502,0.0182369,0.000325934
"Forever 21",UK,2022,385.59,26.93,27,15974.11,223.57,1118.08,121.54,66,1,38.32,105.75,7,4875,4100,-0.65,Neutral,734.7,0.62,90.4,32.02,67.03,0.94,0.00289966,0.0414277,0.000579813
Uniqlo,India,2024,275.24,25.72,12,5254.55,247.65,687.3,148.34,68,0,32.33,118.24,10,6939,1846,-0.82,Neutral,589.31,0.76,34.73,68.11,37.29,0.73,0.00249709,0.0190908,0.00089976
Uniqlo,China,2021,361.15,18.88,9,10103.12,165.35,989.01,156.84,52,0,23.15,98.29,19,3783,6754,-0.36,Neutral,397.54,0.63,7.22,14.75,7.32,4.06,0.0027385,0.0279749,0.000457843
"Forever 21",India,2015,623.03,24.09,9,10978.99,165.51,839.73,140.25,62,2,20.73,145.86,4,8557,7105,-0.17,Negative,231.31,0.79,17.46,32.23,97.43,4.93,0.00134782,0.0176219,0.000265653
Zara,Vietnam,2024,612.41,20.11,6,16963.01,236.21,618.41,148.04,46,0,15.08,163.72,12,5951,7082,-0.72,Neutral,660.82,0.89,58.24,12.68,46.19,4.22,0.0010098,0.0276988,0.000385706
"Forever 21",India,2021,457.03,22.42,18,5990.29,280.2,1109.73,166.01,58,0,12.76,99.57,16,8109,673,-0.89,Positive,124.36,0.23,69.53,14.21,63.98,0.27,0.00242813,0.013107,0.000613089
"Forever 21",USA,2015,317.95,18.26,27,12238.52,207.01,777.97,118.74,56,2,14.23,126.99,10,6001,73,0.21,Neutral,356.39,0.25,73.6,30.12,46.34,3,0.00244683,0.038492,0.000651077
"Forever 21",Indonesia,2016,580.13,16.37,7,13950.57,186.41,809.93,199.84,49,1,36.45,116.57,17,7955,2553,0.15,Positive,529.55,0.94,86.67,98.26,52.78,3.94,0.00139612,0.0240473,0.000321325
Uniqlo,USA,2024,565.3,25.01,28,15605.81,202.09,639.56,92.64,65,0,32.49,160.27,15,4333,627,0.26,Positive,640.44,0.36,63.85,28.68,29.36,2,0.00113136,0.0276062,0.000357492
Zara,UK,2017,500.15,25.91,26,13982.85,332.55,727.39,78.35,42,1,14.41,132.91,3,5363,4144,-0.75,Positive,669.21,0.99,31.52,11.53,10.7,3.6,0.00145434,0.0279573,0.000664901
H&M,UK,2019,434.06,23.21,8,8562.14,111.55,722.15,269.07,64,0,25.48,124.3,19,4933,1752,0.43,Neutral,674.3,0.6,85.47,92.96,18.42,2.18,0.00166371,0.0197257,0.000256992
"Forever 21",Germany,2023,278.41,11.61,25,5970.62,176.26,1247.67,103.05,69,2,17.1,100.88,17,816,4017,-0.54,Positive,579.61,0.88,3.33,91.28,11.84,3.23,0.00448141,0.0214454,0.000633095
Uniqlo,USA,2018,601.12,17.5,24,1862.16,191.03,513.83,126.17,48,1,18.7,121.22,8,831,849,-0.63,Neutral,447.38,0.49,98.44,29.78,59.97,3.88,0.000854788,0.00309782,0.00031779
Uniqlo,Bangladesh,2018,379.48,25.85,22,16875.73,312.05,567.59,229.11,43,1,32.4,120.85,5,2690,7422,0.65,Neutral,317.95,0.29,39.41,31.66,40.02,0.75,0.0014957,0.0444707,0.000822309
Zara,India,2024,713.24,20.08,25,9542.71,311.86,503.17,61.46,42,1,18.07,106.31,17,4430,7913,-0.17,Neutral,756.89,0.58,4.93,0.23,24.48,3.4,0.000705471,0.0133794,0.000437244
"Forever 21",Vietnam,2022,765.05,14.68,17,6567.35,132.05,637.71,163.74,60,1,34.65,135.16,17,1001,722,-0.76,Positive,781.27,0.56,58.53,35.93,47.54,1.82,0.000833553,0.00858421,0.000172603
H&M,Bangladesh,2016,613.84,21.33,22,11881.87,266.7,595.12,125.95,65,1,36.81,181.05,9,577,6876,-0.92,Negative,571.64,0.89,31.49,12.9,46.85,2.99,0.000969503,0.0193566,0.000434478
Zara,India,2019,488.33,17.72,10,6372.4,203.4,822.69,159.29,49,0,34.14,161.73,10,2615,4465,0.56,Neutral,626.62,0.81,45.33,79.22,83.86,3.27,0.0016847,0.0130494,0.000416522
H&M,Turkey,2021,386.92,15.47,7,11603.2,204.16,524.31,186.52,62,1,31.61,101.51,18,7355,972,-0.89,Neutral,557.11,0.71,84.3,39.88,52.21,2.01,0.00135509,0.0299886,0.000527654
H&M,Bangladesh,2020,641.82,16.89,27,12871.91,193.63,1046.68,149.62,59,1,32.35,138.45,13,6709,2340,-0.51,Neutral,605.74,0.2,79.44,9.9,27.14,4.28,0.0016308,0.0200553,0.000301689
H&M,UK,2023,520.85,19.77,22,12053.28,196,954.78,180.89,42,1,23.17,130.2,14,3775,2098,-0.28,Negative,372.09,0.26,64.28,32.78,86.01,0.61,0.00183312,0.0231416,0.000376308
"Forever 21",Vietnam,2017,201.22,13.58,26,3768.64,185.88,1229.16,72.75,41,0,31.46,113.91,11,4153,4843,0.22,Negative,396.31,0.63,36.97,48.61,31.38,0.71,0.00610854,0.018729,0.000923765
H&M,Brazil,2017,461.16,19.06,21,14408.18,49.39,1022.57,136.62,55,2,27.58,120.88,5,1943,123,-0.62,Neutral,586.27,0.5,58.48,81.62,98.83,1.94,0.00221739,0.0312433,0.000107099
"Forever 21",Brazil,2019,309.97,22.19,9,12527.54,245.3,411.63,149.81,50,0,24.48,155.79,11,8694,4033,0.19,Negative,332.21,0.81,98.93,67.92,98.5,0.14,0.00132797,0.0404153,0.000791367
"Forever 21",China,2024,387.59,18.45,9,12212.88,157.65,871.93,154.15,44,1,19.32,166.07,12,5427,5147,-0.17,Negative,686.14,0.46,3.62,55.11,70.87,0.57,0.00224962,0.0315098,0.000406744
H&M,Bangladesh,2016,652.05,16.49,20,10683.3,101.06,914.48,106.97,43,0,30.34,97.97,19,5812,6368,-0.82,Positive,1031.5,0.12,80.57,10.82,98.67,3.1,0.00140247,0.0163842,0.000154988
Uniqlo,Indonesia,2023,331.4,22.82,24,12869.87,116.23,605.14,110.91,58,0,11.69,107.94,13,5302,1166,0.99,Negative,644.25,0.36,14.93,24.1,93.61,2.6,0.00182601,0.0388349,0.000350724
Zara,Indonesia,2023,635.4,18.37,22,7879.71,221.8,664.95,89.09,47,1,27.32,139.72,15,840,1419,-0.49,Neutral,472.15,0.21,5.85,30.54,15.77,0.87,0.00104651,0.0124012,0.000349071
Uniqlo,Germany,2019,189.32,24.97,25,10953.39,160.19,700.25,116.5,54,0,26.54,93.42,8,9010,7049,-0.1,Neutral,433.48,0.82,59.04,9.69,54.8,3.51,0.00369876,0.0578565,0.000846134
H&M,Germany,2018,580.91,26.11,23,13741.22,252.08,1181.23,125.83,42,0,27.73,151.96,10,9962,5994,-0.34,Negative,448.39,0.29,49.77,47.6,90.15,0.17,0.00203341,0.0236546,0.00043394
H&M,India,2022,634.16,11.67,17,13916.21,105.23,592.29,214.62,53,1,36.57,89.64,19,2796,3870,-0.95,Negative,589.76,0.4,97.6,87.36,32.94,2.94,0.000933976,0.0219443,0.000165936
H&M,Germany,2015,470.39,25.84,15,10058.8,151.85,915.79,173,42,2,10.61,177.65,17,5167,7474,-0.6,Neutral,-77.34,0.26,33.77,41.84,50.85,2.38,0.00194687,0.021384,0.000322817
"Forever 21",Indonesia,2019,266.92,27.83,28,7893.23,188.14,911.37,48.38,44,0,34.76,116.76,8,7665,7974,-0.14,Neutral,722.42,0.81,46.25,94.1,48.64,2.31,0.00341439,0.0295715,0.000704855
H&M,India,2015,587.36,22.58,17,11561.14,195.7,792.18,213.42,56,0,19.52,127.61,8,8862,5002,1,Negative,141.38,0.86,36.18,1.03,62.62,3.52,0.00134871,0.0196832,0.000333186
Zara,UK,2024,537.24,20.4,22,7359.96,216.15,756.84,91.11,69,1,24.06,88.9,5,2570,7289,-0.32,Positive,307.94,0.39,58.71,6.67,82.97,2.81,0.00140876,0.0136996,0.000402334
H&M,Germany,2019,682.72,25.12,18,7570.83,211.27,642.57,160.17,58,1,11.94,64.1,18,1448,5606,-0.37,Neutral,703.55,0.86,84.63,35.64,83.25,4.25,0.000941191,0.0110892,0.000309453
H&M,China,2018,394.49,19.38,17,7258.62,72.24,581.95,142.89,59,1,14.98,99.38,16,707,6219,-0.98,Negative,777.71,0.22,30.93,11.69,98.59,1.54,0.0014752,0.0184,0.000183123
